split,text,labels,cs_group,foreign_langs,english_tokens,chinese_tokens
val,@阮黎英秋_ 索佩🐟 👍mãi bn tốt👍,"[11, 3]",chinese_mixed,zh,,"阮黎英秋, 索佩"
train,@云英☁️🛴ồn,"[15, 25]",chinese_mixed,zh,,云英
train,ngại tht nhiều lúc cứ hỏi sao mình xấu thế😅 [写真],"[19, 21]",chinese_mixed,zh,,写真
train,đẹp... [写真],[8],chinese_mixed,zh,,写真
val,黄氏明胜 động lực để cta độc thân nek 🤣,[0],chinese_mixed,zh,,黄氏明胜
train,@辉雄🖤👍🏿🫵🏿,"[3, 11]",chinese_mixed,zh,,辉雄
train,không biết [写真],[15],chinese_mixed,zh,,写真
train,ngại thật [写真],[19],chinese_mixed,zh,,写真
val,tôi hướng nội khi gặp người lạ [写真],[19],chinese_mixed,zh,,写真
train,top 1 nhiều hacker nhất,[13],english_mixed,en,hacker,
train,per đừng có mà thân thiết với tôi,"[24, 25]",english_mixed,en,per,
train,nếu 1 ngày per theo thằng khác và per cũng có bỏ bạn mà đi thôi huhu,"[16, 20, 21]",english_mixed,en,"per, per",
train,Thank you chị Giang nhiều ạ! All the best to you!!,"[9, 6]",english_mixed,en,"Thank, best",
train,"per 😥 cảm thấy tội lỗi quá , từ nay không chụp nữa thiệt luôn","[18, 21]",english_mixed,en,per,
train,"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((","[16, 17]",english_mixed,en,per,
train,Video của anh lúc nào cũng bổ ích mỗi khi em cần người tâm sự hết ạ. Em cũng thắc mắc là ở độ tuổi 20 có bao giờ anh bị peer pressure kh ạ,"[8, 14]",english_mixed,en,"Video, peer",
train,per rất là thực tế nhé chú .,[11],english_mixed,en,per,
train,xem đến cuối video mà vẫn đéo biết con nhỏ đó muốn gì . dài dòng vãi,"[15, 25]",english_mixed,en,video,
train,"câu chốt .... "" chuyện cổ tích per "".... thôi tao quỳ ...",[0],english_mixed,en,per,
train,Nice try VietNam 👌👌,"[11, 8]",english_mixed,en,Nice,
test,@Thangladaosivip Ngày nào bác post là tui qua sớm nhất luôn á,"[3, 1]",english_mixed,en,post,
train,Bui My Duyen ko có clip hả ta,"[14, 4]",english_mixed,en,clip,
train,Để dành đi comment dạo đúng. Chek cam cho đền,[25],english_mixed,en,comment,
train,"Chí Cương thế giờ t đăng bài 1 cái bài như vậy
———————————-
Cậu bé di game về nhịn ăn nhịn uống không chịu học hành ngồi nằm ghế 🪑 và có suy nghĩ tiêu cực
( Đấy bạn giải thích như nào - không thể vì 1 cái ảnh mà đánh giá cả 1 nền giáo dục nước nhà ) 
Từ cái thằng viết bài tới cái thằng gửi ảnh này lên - 
Thứ nhất là nhạt
Thứ hai là câu view rẻ tiền 
Vô vị",[25],english_mixed,en,"game, view",
train,per học hỏi nhé kkk,[6],english_mixed,en,per,
train,vì mình bị ovethingking mà ct,"[17, 21]",english_mixed,en,ovethingking,
train,"Em buồn bản thân quá chị ơi, em làm leader trong nhóm nhưng em lại bị tính trì trệ cực nhiều và e không hiểu tại sao mình lại bị như vậy dù đã rất nhiều lần em bị ảnh hưởng. ĐỈnh điểm của lần này làm em buồn đến stress là tính trì trệ của em làm ảnh hưởng đến người khác. Kết quả là cả nhóm bị cô chê và trừ điểm nhưng em là leader mà lại để như vậy, các bạn đều đúng deadline chỉ riêng em thì không","[18, 19]",english_mixed,en,"leader, leader, deadline",
train,@Hien2021 hay quá bro ui,"[11, 1]",english_mixed,en,bro,
train,@july107193 Tôi đã từng buông bỏ một người bằng cách trân trọng kỷ niệm và chấp nhận sự thay đổi trong tình cảm.,"[21, 12]",english_mixed,en,july,
train,Like,[11],english_mixed,en,Like,
train,"Trần Khánh Duy  breaking bad đó à anh, tên phim á, thấy đánh giá cao phết mà chưa xem 😃","[0, 14]",english_mixed,en,"breaking, bad",
train,cho xin địa chỉ chị gửi cho ít quần áo cả hai vợ chồng nè.. chị trả hết phí ship luôn chỉ nhận đồ là được nhé,"[6, 4]",english_mixed,en,ship,
train,per trung thu đéo liên quan đến việc có gấu cho lắm bạn nhể .... nhưng mà lễ gì cũng thế thì đúng là bất hạnh mà huhu,"[20, 21, 22]",english_mixed,en,per,
val,@💥 [embarrassed],[19],english_mixed,en,embarrassed,
